epoch,categorical_accuracy,loss
0,0.8676047325134277,0.39790481328964233
0,0.94313645362854,0.15907242894172668
0,0.9604811072349548,0.10795879364013672
0,0.9683988094329834,0.08563808351755142
0,0.9718584418296814,0.07586126029491425
0,0.9773149490356445,0.06267181783914566
0,0.9786384105682373,0.06135568395256996
0,0.9812389612197876,0.05434475839138031
0,0.9818194508552551,0.053551435470581055
0,0.9834448099136353,0.05113808438181877
0,0.9832125902175903,0.04921368882060051
0,0.9846289753913879,0.04652326554059982
0,0.9858363270759583,0.04576132819056511
0,0.9854416251182556,0.04456856846809387
0,0.9859060049057007,0.0430794358253479
0,0.9881582856178284,0.03821967914700508
0,0.9881117939949036,0.03961551934480667
0,0.9879260659217834,0.04252689704298973
0,0.9883207678794861,0.041040316224098206
0,0.9898996949195862,0.036184266209602356
0,0.9884833097457886,0.04289698228240013
0,0.9902943968772888,0.03552575036883354
0,0.9893888831138611,0.03961243852972984
0,0.9905498027801514,0.03879546746611595
0,0.9896442890167236,0.036587558686733246
0,0.9917572140693665,0.031194061040878296
0,0.9896442890167236,0.041807521134614944
0,0.9911302924156189,0.03638484701514244
0,0.9904569387435913,0.03640570119023323
0,0.9914553761482239,0.03588137403130531
0,0.9909213185310364,0.03616868332028389
0,0.9911767244338989,0.03462601080536842
